antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.03122291606480144,0.16367030378452854,0.011333585190782017,0.36298932384341637,2.217808090105892,1.0,0.006223321033417129,1.3128974560700977,0.5668015566092474,0.06174334140435835,0.23832589104612564,0.2161178798443151
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.0283561856930154,0.16367030378452854,0.010155781239583102,0.35815047021943575,2.1882434500209627,1.0,0.00551471571303677,1.3029996243845443,0.5588595820385258,0.05584066471163246,0.2325400703992238,0.2101003539148774
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.03371186026356141,0.16367030378452854,0.011155803462299161,0.3309162821357943,2.021846813282907,1.0,0.005638173051820489,1.2499627085309066,0.5230351763453522,0.05990453460620525,0.19997613274774428,0.1995382496897573
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.0602680059556879,0.16367030378452854,0.01862263605857908,0.3089970501474926,1.8879237283892765,1.0,0.008758553215323865,1.2103127727515253,0.5004805496343234,0.0907024569758632,0.17376729179962322,0.21138922432697102
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.048378852863396965,0.13155847907731283,0.014778106180137337,0.3054662379421222,2.3219046015468847,1.0,0.008413457877923731,1.2503949676247952,0.5982623294961518,0.08947793326157158,0.20025269943339277,0.20889865951160164
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.07371274917220383,0.13155847907731283,0.021156025689459765,0.28700633102200784,2.1815874813613734,1.0,0.01145848851975718,1.2180213635943145,0.5847194786940254,0.11490645745322872,0.17899633792214054,0.2239085709164093
frozenset({'Strawberries'}),frozenset({'Banana'}),0.04944554323429409,0.16367030378452854,0.01411142469832663,0.28539325842696633,1.7437082465655205,1.0,0.006018657616378676,1.1703355811820277,0.44869556125234666,0.07091010608598548,0.14554422160692612,0.18580592996025846
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.05233449632214049,0.16367030378452854,0.014022533834085202,0.26794055201698513,1.637074935534598,1.0,0.005456930922630176,1.1424341267908558,0.4106453294596431,0.06942457916162394,0.12467600840230414,0.17680802210489446
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.048378852863396965,0.0894019867108158,0.011200248894419876,0.2315112540192926,2.589553795578958,1.0,0.006875083333641948,1.1849204273344616,0.6450393489327916,0.08848314606741571,0.15606147304798287,0.1783954480387291
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.0894019867108158,0.13155847907731283,0.020689348652192272,0.23141933880188914,1.7590606126260488,1.0,0.008927759254027213,1.1299289258318146,0.4738806263581082,0.10330670217487795,0.11498858278733358,0.19434142615770134
frozenset({'Organic Whole Milk'}),frozenset({'Banana'}),0.046289917553723414,0.16367030378452854,0.01060023556079024,0.228996639462314,1.399133710680878,1.0,0.003023950692611549,1.0847289895497056,0.29911818377394844,0.053171329840597484,0.07811074504875026,0.14688121178818347
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.0894019867108158,0.16367030378452854,0.02020044889886442,0.22595078299776286,1.380524003274451,1.0,0.005567998574964815,1.0804606190991783,0.30269928593796513,0.08674491840824505,0.07446881235362521,0.17468618579623377
frozenset({'Limes'}),frozenset({'Banana'}),0.047023267183715196,0.16367030378452854,0.010400231116247027,0.22117202268431,1.351326523933641,1.0,0.002703918691347309,1.0738310905290884,0.2728150597003055,0.05192499722622878,0.0687548453199571,0.14235790543584134
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.08437965288117513,0.16367030378452854,0.01855596791039801,0.21991045562286018,1.3436185461742138,1.0,0.004745524490103008,1.0720944822856668,0.27930915509886023,0.0808560085213518,0.06724638870630509,0.16664226107687477
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.08437965288117513,0.13155847907731283,0.017933731860708017,0.21253621279957863,1.6155265269878782,1.0,0.006832873062589019,1.1028335969710514,0.41611871201016637,0.09057239057239058,0.0932448895767097,0.1744268901835731
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Strawberries'}),0.07371274917220383,0.0894019867108158,0.013955865685904132,0.18932770575821525,2.1177125109157164,1.0,0.007365799463993067,1.123262778014215,0.5697934115659451,0.09356376638855782,0.10973636839647423,0.17271505844709173
frozenset({'Organic Avocado'}),frozenset({'Organic Baby Spinach'}),0.0602680059556879,0.08437965288117513,0.010222449387764173,0.1696165191740413,2.0101590061397645,1.0,0.005137055965382632,1.1026475938660094,0.5347555678022129,0.07604562737642587,0.09309193112743762,0.14538239706397615
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.13155847907731283,0.07371274917220383,0.021156025689459765,0.1608108108108108,2.1815874813613734,1.0,0.01145848851975718,1.1037883504228168,0.623666862277038,0.11490645745322872,0.09402921346566084,0.2239085709164093
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Strawberries'}),0.08437965288117513,0.0894019867108158,0.013333629636214138,0.15801948907031868,1.7675165271377753,1.0,0.005789921030668069,1.0814953570406733,0.47425161399932036,0.08310249307479224,0.07535432908715517,0.15358096004597216
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.13155847907731283,0.0894019867108158,0.020689348652192272,0.15726351351351353,1.759060612626049,1.0,0.008927759254027213,1.0805252031813932,0.49688406933774765,0.10330670217487795,0.0745241322870606,0.19434142615770134
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Baby Spinach'}),0.07371274917220383,0.08437965288117513,0.011511366919264873,0.15616520952668073,1.8507448679197014,1.0,0.0052915107311971845,1.085070629293727,0.49625751623016634,0.07853244390539722,0.07840100634656343,0.14629435087869458
frozenset({'Organic Strawberries'}),frozenset({'Organic Hass Avocado'}),0.0894019867108158,0.07371274917220383,0.013955865685904132,0.15610241113596818,2.1177125109157164,1.0,0.007365799463993067,1.0976299293314355,0.5796107228839252,0.09356376638855782,0.08894612539483307,0.17271505844709173
frozenset({'Organic Strawberries'}),frozenset({'Organic Baby Spinach'}),0.0894019867108158,0.08437965288117513,0.013333629636214138,0.14914243102162564,1.7675165271377753,1.0,0.005789921030668069,1.0761147112062612,0.4768673125732136,0.08310249307479224,0.07073103862778826,0.15358096004597216
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Hass Avocado'}),0.08437965288117513,0.07371274917220383,0.011511366919264873,0.13642349223070846,1.8507448679197014,1.0,0.0052915107311971845,1.0726174722150479,0.5020388765473955,0.07853244390539722,0.06770118340985677,0.14629435087869458
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.13155847907731283,0.08437965288117513,0.017933731860708017,0.13631756756756758,1.6155265269878782,1.0,0.006832873062589019,1.0601354302647064,0.4387247158894259,0.09057239057239058,0.056724290640575055,0.1744268901835731
frozenset({'Organic Strawberries'}),frozenset({'Organic Raspberries'}),0.0894019867108158,0.048378852863396965,0.011200248894419876,0.12527964205816555,2.589553795578958,1.0,0.006875083333641948,1.0879147129669093,0.6740988627489262,0.08848314606741571,0.08081029874773228,0.1783954480387291
frozenset({'Banana'}),frozenset({'Organic Strawberries'}),0.16367030378452854,0.0894019867108158,0.02020044889886442,0.12342158859470469,1.380524003274451,1.0,0.005567998574964815,1.0388095365357561,0.32957979328782644,0.08674491840824505,0.037359626736946414,0.17468618579623377
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Avocado'}),0.08437965288117513,0.0602680059556879,0.010222449387764173,0.12114827495391099,2.0101590061397645,1.0,0.005137055965382632,1.0692725146497613,0.5488376461252409,0.07604562737642587,0.06478471456123729,0.14538239706397615
frozenset({'Banana'}),frozenset({'Organic Avocado'}),0.16367030378452854,0.0602680059556879,0.01862263605857908,0.11378139850644943,1.8879237283892765,1.0,0.008758553215323865,1.0603839644762307,0.5623590636761077,0.0907024569758632,0.0569453768626698,0.21138922432697102
frozenset({'Banana'}),frozenset({'Organic Baby Spinach'}),0.16367030378452854,0.08437965288117513,0.01855596791039801,0.11337406653088936,1.343618546174214,1.0,0.004745524490103008,1.0327019688407573,0.3057898657698687,0.0808560085213518,0.031666414732864676,0.16664226107687477
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Raspberries'}),0.13155847907731283,0.048378852863396965,0.014778106180137337,0.11233108108108109,2.3219046015468847,1.0,0.008413457877923731,1.0720451362604548,0.65556410025037,0.08947793326157158,0.06720345424238867,0.20889865951160164
frozenset({'Banana'}),frozenset({'Strawberries'}),0.16367030378452854,0.04944554323429409,0.01411142469832663,0.08621860149355058,1.7437082465655205,1.0,0.006018657616378676,1.0402427301752488,0.5099777843707253,0.07091010608598548,0.038685903787541095,0.18580592996025846
frozenset({'Banana'}),frozenset({'Large Lemon'}),0.16367030378452854,0.05233449632214049,0.014022533834085202,0.0856754921928038,1.6370749355345982,1.0,0.005456930922630176,1.0364651670014011,0.465312202515731,0.06942457916162394,0.035182240718131,0.17680802210489446
frozenset({'Banana'}),frozenset({'Organic Fuji Apple'}),0.16367030378452854,0.03122291606480144,0.011333585190782017,0.06924643584521385,2.217808090105892,1.0,0.006223321033417129,1.040852403090115,0.6565644645486403,0.06174334140435835,0.0392489876267096,0.2161178798443151
frozenset({'Banana'}),frozenset({'Cucumber Kirby'}),0.16367030378452854,0.03371186026356141,0.011155803462299161,0.06816021724372029,2.021846813282907,1.0,0.005638173051820489,1.0369681114904372,0.6043103453751556,0.05990453460620525,0.035650191245806755,0.1995382496897573
frozenset({'Banana'}),frozenset({'Organic Whole Milk'}),0.16367030378452854,0.046289917553723414,0.01060023556079024,0.06476578411405295,1.399133710680878,1.0,0.003023950692611549,1.0197553364135927,0.3410999621311253,0.053171329840597484,0.01937262371489116,0.14688121178818347
frozenset({'Banana'}),frozenset({'Limes'}),0.16367030378452854,0.047023267183715196,0.010400231116247027,0.0635437881873727,1.351326523933641,1.0,0.002703918691347309,1.017641530693336,0.3108659245663018,0.05192499722622878,0.017335702367921653,0.14235790543584134
frozenset({'Banana'}),frozenset({'Honeycrisp Apple'}),0.16367030378452854,0.0283561856930154,0.010155781239583102,0.06205023761031908,2.1882434500209627,1.0,0.00551471571303677,1.0359230880675943,0.6492803716179641,0.05584066471163246,0.03467736985629413,0.2101003539148774
